"","Women","Number","Oldest.Youngest","Men","Number.1","Oldest.Youngest.1"
"306","Karin",15,"1938 1993 ","Josva",50,"1930 2008"
"307","Karina",59,"1945 2010 ","Juaannguaq",7,"1971 2007"
"308","Karla",74,"1926 2010 ","Julian",5,"1931 2010"
"309","Karline",53,"1925 2009 ","Julius",86,"1930 2010"
"310","Karna",7,"1950 2005 ","Justus",27,"1933 2010"
"311","Karola",7,"1937 2008 ","Jørgen",397,"1923 2010"
"312","Karoline",191,"1916 2010 ","Jørgen-Peter",5,"1984 2010"
"313","Kate",7,"1954 2009 ","Jørn",29,"1928 1998"
"314","Kathrine",168,"1914 2010 ","Kaaka",5,"1986 2010"
"315","Katinka",9,"1954 2006 ","Kaaleeraq",13,"1953 2010"
"316","Katja",10,"1947 2009 ","Kaali",15,"1951 2010"
"317","Katrina",10,"1970 2009 ","Kaalinnguaq",6,"1985 2009"
"318","Katrine",138,"1919 2010 ","Kai",8,"1929 1991"
"319","Kaya",9,"1992 2010 ","Kaj",58,"1932 2010"
"320","Ketty",11,"1940 1996 ","Kale",10,"1952 1985"
"321","Kiistaaraq",5,"1985 2006 ","Kalerak",9,"1942 1988"
"322","Kimmernaq",50,"1980 2010 ","Kaleraq",15,"1941 1996"
"323","Kira",14,"1987 2010 ","Kali",8,"1958 2010"
"324","Kirsten",166,"1927 2009 ","Kanuthus",5,"1931 2008"
"325","Kirstine",49,"1929 2010 ","Karale",8,"1932 2010"
"326","Kista",23,"1944 2009 ","Kari",10,"1949 2009"
"327","Kistaraq",6,"1935 1987 ","Karl",725,"1924 2010"
"328","Kitura",7,"1932 2008 ","Karl-Frederik",10,"1975 2002"
"329","Klara",33,"1936 2010 ","Karl-Jakob",5,"1983 1998"
"331","Klaudie",5,"1926 2009 ","Karl-Kristian",6,"1954 2005"
"332","Konkordie",17,"1938 2008 ","Karl-Peter",32,"1946 2008"
"333","Kori",6,"1946 2007 ","Karlo",8,"1948 2010"
"334","Kornelia",7,"1935 2010 ","Karolus",6,"1923 2006"
"335","Kornelie",15,"1932 2009 ","Karsten",26,"1944 2010"
"336","Kornilie",5,"1941 2008 ","Kasper",77,"1923 2010"
"337","Krista",7,"1967 2007 ","Keld",11,"1942 1999"
"338","Kristiane",76,"1924 2010 ","Kelvin",6,"1980 2005"
"339","Kristina",33,"1930 2010 ","Ken",13,"1965 2008"
"340","Kristine",213,"1916 2010 ","Kenn",6,"1948 2004"
"341","Kuka",11,"1957 2010 ","Kenneth",44,"1961 2009"
"342","Kuluk",8,"1965 2010 ","Kenny",9,"1963 2010"
"343","Kulunguak",5,"1978 1991 ","Kent",19,"1937 2010"
"344","Kulunnguaq",28,"1973 2010 ","Kevin",47,"1952 2010"
"345","Kuuna",7,"1964 2006 ","Kian",7,"2002 2010"
"346","Laannguaq",5,"1989 1996 ","Kim",130,"1946 2010"
"347","Laila",116,"1951 2009 ","Kjeld",16,"1941 2009"
"348","Lajla",5,"1954 2003 ","Klaus",94,"1932 2010"
"349","Lana",12,"1954 2010 ","Klemens",7,"1927 2009"
"350","Lara",5,"1981 2008 ","Knud",306,"1928 2010"
"351","Larsigne",9,"1946 2006 ","Knud-Erik",5,"1954 1999"
"352","Larsine",56,"1937 2010 ","Konrad",44,"1925 2010"
"353","Laura",75,"1931 2010 ","Kornelius",17,"1925 2009"
"354","Lea",87,"1923 2010 ","Kresten",7,"1940 2002"
"355","Lena",40,"1944 2010 ","Kristen",29,"1928 2009"
"356","Lene",46,"1921 2008 ","Kristian",479,"1920 2010"
"357","Lili",7,"1956 2000 ","Kristoffer",45,"1925 2010"
"358","Lilian",7,"1956 1999 ","Kuka",7,"1991 2006"
"359","Lillian",25,"1957 2010 ","Kuluk",36,"1955 2010"
"360","Lina",6,"1931 2010 ","Kuno",10,"1957 2007"
"361","Linda",57,"1947 2010 ","Kunuk",57,"1955 2010"
"362","Line",24,"1933 2005 ","Kununguak",7,"1952 1988"
"363","Lis",13,"1952 1999 ","Kununguaq",11,"1944 1989"
"364","Lisa",57,"1928 2010 ","Kunuunnguaq",14,"1948 2010"
"365","Lisbeth",31,"1953 2007 ","Kurt",35,"1940 2008"
"366","Lise",26,"1930 2008 ","Laasi",6,"1977 2009"
"367","Liv",7,"1978 2009 ","Laban",5,"1934 2001"
"368","Lona",18,"1940 2010 ","Lars",576,"1925 2010"
"369","Lone",46,"1933 2009 ","Lars-Karl",5,"1948 1994"
